seqnames,start,width
chr1,9929223,2
chr1,9929207,2
chr1,9929202,2
chr1,9929179,2
chr1,9929147,2
chr1,9929102,2
chr1,9929021,2
chr1,9928923,2
chr1,9928912,2
chr1,9928835,2
chr1,9928800,2
chr1,9928724,2
chr1,9928669,2
chr1,9928636,2
chr1,9928597,2
chr1,9928596,2
chr1,9928294,2
chr1,9927965,2
chr1,9927917,2
chr1,9927867,2
chr1,9927707,2
chr1,9927551,2
chr1,9927546,2
chr1,9927519,2
chr1,9927492,2
chr1,9927489,2
chr1,9927478,2
chr1,9927440,2
chr1,9927437,2
chr1,9927281,2
chr1,9927229,2
chr1,9927097,2
chr1,9927046,2
chr1,9926998,2
chr1,9926919,2
chr1,9926764,2
chr1,9926704,2
chr1,9926601,2
chr1,9926558,2
chr1,9926465,2
chr1,9926424,2
chr1,9925911,2
chr1,9925783,2
chr1,9925753,2
chr1,9925703,2
chr1,9925474,2
chr1,9925269,2
chr1,9924982,2
chr1,9924947,2
chr1,9924676,2
chr1,9924631,2
chr1,9924554,2
chr1,9924205,2
chr1,9924172,2
chr1,9924036,2
chr1,9923991,2
chr1,9923943,2
chr1,9923882,2
chr1,9923869,2
chr1,9923732,2
chr1,9923718,2
chr1,9923687,2
chr1,9923611,2
chr1,9923576,2
chr1,9923519,2
chr1,9923500,2
chr1,9923494,2
chr1,9923312,2
chr1,9923293,2
chr1,9923215,2
chr1,9923202,2
chr1,9923106,2
chr1,9922918,2
chr1,9922627,2
chr1,9922577,2
chr1,9922413,2
chr1,9922409,2
chr1,9922404,2
chr1,9922368,2
chr1,9922279,2
chr1,9922167,2
chr1,9922110,2
chr1,9922001,2
chr1,9921980,2
chr1,9921950,2
chr1,9921795,2
chr1,9921657,2
chr1,9921576,2
chr1,9921441,2
chr1,9921360,2
chr1,9921298,2
chr1,9921288,2
chr1,9921282,2
chr1,9921264,2
chr1,9921164,2
chr1,9921146,2
chr1,9921014,2
chr1,9920779,2
chr1,9920752,2
chr1,9920709,2
chr1,9920588,2
chr1,9920563,2
chr1,9920376,2
chr1,9919909,2
chr1,9919863,2
chr1,9919672,2
chr1,9919619,2
chr1,9919609,2
chr1,9919531,2
chr1,9919529,2
chr1,9919398,2
chr1,9919230,2
chr1,9919225,2
chr1,9918954,2
chr1,9918940,2
chr1,9918868,2
chr1,9918673,2
chr1,9918626,2
chr1,9918523,2
chr1,9918280,2
chr1,9918231,2
chr1,9918157,2
chr1,9918072,2
chr1,9918047,2
chr1,9917980,2
chr1,9917970,2
chr1,9917898,2
chr1,9917866,2
chr1,9917839,2
chr1,9917815,2
chr1,9917641,2
chr1,9917425,2
chr1,9917375,2
chr1,9917353,2
chr1,9917304,2
chr1,9917119,2
chr1,9917079,2
chr1,9917001,2
chr1,9916944,2
chr1,9916941,2
chr1,9916820,2
chr1,9916803,2
chr1,9916743,2
chr1,9916511,2
chr1,9916421,2
chr1,9916379,2
chr1,9916299,2
chr1,9915889,2
chr1,9915888,2
chr1,9915842,2
chr1,9915792,2
chr1,9915769,2
chr1,9915709,2
chr1,9915645,2
chr1,9915189,2
chr1,9915171,2
chr1,9915154,2
chr1,9915153,2
chr1,9915062,2
chr1,9914732,2
chr1,9914712,2
chr1,9914666,2
chr1,9914645,2
chr1,9914527,2
chr1,9914395,2
chr1,9914311,2
chr1,9914310,2
chr1,9914265,2
chr1,9914129,2
chr1,9914063,2
chr1,9914055,2
chr1,9914052,2
chr1,9913984,2
chr1,9913973,2
chr1,9913910,2
chr1,9913651,2
chr1,9913501,2
chr1,9913400,2
chr1,9913383,2
chr1,9913376,2
chr1,9913273,2
chr1,9913159,2
chr1,9913101,2
chr1,9913018,2
chr1,9912424,2
chr1,9912359,2
chr1,9912302,2
chr1,9912080,2
chr1,9912013,2
chr1,9911909,2
chr1,9911887,2
chr1,9911642,2
chr1,9911596,2
chr1,9911494,2
chr1,9911441,2
chr1,9911374,2
chr1,9911359,2
chr1,9911056,2
chr1,9911052,2
chr1,9910989,2
chr1,9910762,2
chr1,9910761,2
chr1,9910740,2
chr1,9910541,2
chr1,9910464,2
chr1,9910415,2
chr1,9910373,2
chr1,9910241,2
chr1,9910127,2
chr1,9910079,2
chr1,9909901,2
chr1,9909895,2
chr1,9909835,2
chr1,9909575,2
chr1,9909452,2
chr1,9909348,2
chr1,9909050,2
chr1,9909048,2
chr1,9909030,2
chr1,9908994,2
chr1,9908726,2
chr1,9908676,2
chr1,9908563,2
chr1,9908301,2
chr1,9908283,2
chr1,9908238,2
chr1,9908175,2
chr1,9908116,2
chr1,9907837,2
chr1,9907536,2
chr1,9907501,2
chr1,9907361,2
chr1,9907354,2
chr1,9907307,2
chr1,9907293,2
chr1,9907244,2
chr1,9906988,2
chr1,9906859,2
chr1,9906819,2
chr1,9906769,2
chr1,9906689,2
chr1,9906622,2
chr1,9906542,2
chr1,9906538,2
chr1,9906496,2
chr1,9906412,2
chr1,9906411,2
chr1,9906262,2
chr1,9906073,2
chr1,9905994,2
chr1,9905924,2
chr1,9905884,2
chr1,9905669,2
chr1,9905642,2
chr1,9905606,2
chr1,9905508,2
chr1,9905402,2
chr1,9905118,2
chr1,9904911,2
chr1,9904850,2
chr1,9904796,2
chr1,9904787,2
chr1,9904758,2
chr1,9904735,2
chr1,9904689,2
chr1,9904436,2
chr1,9904331,2
chr1,9904096,2
chr1,9903982,2
chr1,9903949,2
chr1,9903938,2
chr1,9903932,2
chr1,9903396,2
chr1,9903309,2
chr1,9903090,2
chr1,9903026,2
chr1,9902987,2
chr1,9902913,2
chr1,9902811,2
chr1,9902762,2
chr1,9902634,2
chr1,9902633,2
chr1,9902585,2
chr1,9902579,2
chr1,9902446,2
chr1,9902417,2
chr1,9902278,2
chr1,9902203,2
chr1,9902162,2
chr1,9902151,2
chr1,9901912,2
chr1,9901900,2
chr1,9901843,2
chr1,9901511,2
chr1,9901499,2
chr1,9901348,2
chr1,9901322,2
chr1,9901305,2
chr1,9901275,2
chr1,9901181,2
chr1,9901146,2
chr1,9901134,2
chr1,9901065,2
chr1,9900986,2
chr1,9900785,2
chr1,9900541,2
chr1,9900487,2
chr1,9900442,2
chr1,9900365,2
chr1,9900287,2
chr1,9900265,2
chr1,9900076,2
chr1,9900033,2
chr1,9899894,2
chr1,9899678,2
chr1,9899585,2
chr1,9899553,2
chr1,9899479,2
chr1,9899431,2
chr1,9899273,2
chr1,9899220,2
chr1,9899205,2
chr1,9899001,2
chr1,9899000,2
chr1,9898999,2
chr1,9898886,2
chr1,9898827,2
chr1,9898649,2
chr1,9898625,2
chr1,9898500,2
chr1,9898435,2
chr1,9898339,2
chr1,9898320,2
chr1,9898238,2
chr1,9898178,2
chr1,9897987,2
chr1,9897980,2
chr1,9897872,2
chr1,9897833,2
chr1,9897236,2
chr1,9897194,2
chr1,9896927,2
chr1,9896920,2
chr1,9896817,2
chr1,9896776,2
chr1,9896743,2
chr1,9896699,2
chr1,9896507,2
chr1,9896314,2
chr1,9896268,2
chr1,9896252,2
chr1,9896188,2
chr1,9896123,2
chr1,9896063,2
chr1,9895753,2
chr1,9895599,2
chr1,9895207,2
chr1,9895109,2
chr1,9895056,2
chr1,9894945,2
chr1,9894837,2
chr1,9894809,2
chr1,9894621,2
chr1,9894589,2
chr1,9894580,2
chr1,9894565,2
chr1,9894507,2
chr1,9894379,2
chr1,9894370,2
chr1,9894321,2
chr1,9894288,2
chr1,9894143,2
chr1,9894028,2
chr1,9893918,2
chr1,9893896,2
chr1,9893885,2
chr1,9893858,2
chr1,9893760,2
chr1,9893671,2
chr1,9893552,2
chr1,9893446,2
chr1,9893441,2
chr1,9893418,2
chr1,9893084,2
chr1,9892922,2
chr1,9892851,2
chr1,9892840,2
chr1,9892772,2
chr1,9892769,2
chr1,9892735,2
chr1,9892662,2
chr1,9892618,2
chr1,9892498,2
chr1,9892480,2
chr1,9892406,2
chr1,9892320,2
chr1,9892069,2
chr1,9892033,2
chr1,9892008,2
chr1,9892005,2
chr1,9891804,2
chr1,9891728,2
chr1,9891721,2
chr1,9891676,2
chr1,9891663,2
chr1,9891639,2
chr1,9891540,2
chr1,9891452,2
chr1,9891423,2
chr1,9891395,2
chr1,9891375,2
chr1,9891298,2
chr1,9891274,2
chr1,9891181,2
chr1,9891124,2
chr1,9891093,2
chr1,9890957,2
chr1,9890733,2
chr1,9890678,2
chr1,9890661,2
chr1,9890641,2
chr1,9890553,2
chr1,9890512,2
chr1,9890491,2
chr1,9890392,2
chr1,9890385,2
chr1,9890282,2
chr1,9890280,2
chr1,9889930,2
chr1,9889914,2
chr1,9889868,2
chr1,9889832,2
chr1,9889810,2
chr1,9889791,2
chr1,9889609,2
chr1,9889480,2
chr1,9889455,2
chr1,9889340,2
chr1,9889255,2
chr1,9889199,2
chr1,9889028,2
chr1,9888880,2
chr1,9888571,2
chr1,9888565,2
chr1,9888334,2
chr1,9888318,2
chr1,9888304,2
chr1,9888066,2
chr1,9888034,2
chr1,9887867,2
chr1,9887832,2
chr1,9887731,2
chr1,9887383,2
chr1,9887340,2
chr1,9887191,2
chr1,9887081,2
chr1,9887071,2
chr1,9887043,2
chr1,9886908,2
chr1,9886825,2
chr1,9886697,2
chr1,9886674,2
chr1,9886594,2
chr1,9886524,2
chr1,9886508,2
chr1,9886427,2
chr1,9886203,2
chr1,9886074,2
chr1,9885755,2
chr1,9885693,2
chr1,9885617,2
chr1,9885562,2
chr1,9885507,2
chr1,9885242,2
chr1,9885108,2
chr1,9885083,2
chr1,9884724,2
chr1,9884678,2
chr1,9884622,2
chr1,9884311,2
chr1,9884293,2
chr1,9884224,2
chr1,9883996,2
chr1,9883868,2
chr1,9883821,2
chr1,9883706,2
chr1,9883444,2
chr1,9883398,2
chr1,9883297,2
chr1,9883204,2
chr1,9883170,2
chr1,9883153,2
chr1,9883148,2
chr1,9883086,2
chr1,9883035,2
chr1,9882856,2
chr1,9882763,2
chr1,9882649,2
chr1,9882594,2
chr1,9882556,2
chr1,9882387,2
chr1,9882155,2
chr1,9882133,2
chr1,9882103,2
chr1,9882082,2
chr1,9881683,2
chr1,9881668,2
chr1,9881649,2
chr1,9881569,2
chr1,9881440,2
chr1,9881409,2
chr1,9881344,2
chr1,9881288,2
chr1,9881261,2
chr1,9880805,2
chr1,9880756,2
chr1,9880529,2
chr1,9880232,2
chr1,9880104,2
chr1,9879837,2
chr1,9879826,2
chr1,9879723,2
chr1,9879652,2
chr1,9879418,2
chr1,9879299,2
chr1,9879208,2
chr1,9879133,2
chr1,9879113,2
chr1,9879045,2
chr1,9879012,2
chr1,9878914,2
chr1,9878775,2
chr1,9878618,2
chr1,9878537,2
chr1,9878421,2
chr1,9878343,2
chr1,9878273,2
chr1,9878095,2
chr1,9877998,2
chr1,9877984,2
chr1,9877882,2
chr1,9877819,2
chr1,9877574,2
chr1,9877496,2
chr1,9877489,2
chr1,9877370,2
chr1,9877315,2
chr1,9877298,2
chr1,9877292,2
chr1,9877277,2
chr1,9877273,2
chr1,9877198,2
chr1,9877097,2
chr1,9876979,2
chr1,9876932,2
chr1,9876918,2
chr1,9876875,2
chr1,9876866,2
chr1,9876795,2
chr1,9876696,2
chr1,9876644,2
chr1,9876563,2
chr1,9876455,2
chr1,9876156,2
chr1,9876065,2
chr1,9876048,2
chr1,9876017,2
chr1,9875952,2
chr1,9875918,2
chr1,9875783,2
chr1,9875583,2
chr1,9875514,2
chr1,9875419,2
chr1,9875413,2
chr1,9875406,2
chr1,9875275,2
chr1,9875198,2
chr1,9875083,2
chr1,9875073,2
chr1,9875059,2
chr1,9875026,2
chr1,9874967,2
chr1,9874937,2
chr1,9874809,2
chr1,9874632,2
chr1,9874466,2
chr1,9874442,2
chr1,9874199,2
chr1,9874009,2
chr1,9873960,2
chr1,9873943,2
chr1,9873857,2
chr1,9873731,2
chr1,9873638,2
chr1,9873621,2
chr1,9873527,2
chr1,9873468,2
chr1,9873355,2
chr1,9873341,2
chr1,9873267,2
chr1,9873172,2
chr1,9872992,2
chr1,9872982,2
chr1,9872857,2
chr1,9872853,2
chr1,9872838,2
chr1,9872713,2
chr1,9872623,2
chr1,9872576,2
chr1,9872569,2
chr1,9872472,2
chr1,9872453,2
chr1,9872324,2
chr1,9872240,2
chr1,9871908,2
chr1,9871881,2
chr1,9871716,2
chr1,9871588,2
chr1,9871573,2
chr1,9871547,2
chr1,9871544,2
chr1,9871534,2
chr1,9871480,2
chr1,9871342,2
chr1,9871103,2
chr1,9871068,2
chr1,9870988,2
chr1,9870891,2
chr1,9870882,2
chr1,9870750,2
chr1,9870624,2
chr1,9870334,2
chr1,9870275,2
chr1,9870180,2
chr1,9870172,2
chr1,9870135,2
chr1,9870126,2
chr1,9869901,2
chr1,9869771,2
chr1,9869576,2
chr1,9869528,2
chr1,9869390,2
chr1,9869252,2
chr1,9869028,2
chr1,9868989,2
chr1,9868899,2
chr1,9868856,2
chr1,9868759,2
chr1,9868656,2
chr1,9868510,2
chr1,9868477,2
chr1,9868236,2
chr1,9867963,2
chr1,9867840,2
chr1,9867818,2
chr1,9867808,2
chr1,9867796,2
chr1,9867208,2
chr1,9867140,2
chr1,9867021,2
chr1,9867011,2
chr1,9866962,2
chr1,9866634,2
chr1,9866414,2
chr1,9866353,2
chr1,9865999,2
chr1,9865979,2
chr1,9865901,2
chr1,9865899,2
chr1,9865777,2
chr1,9865761,2
chr1,9865749,2
chr1,9865678,2
chr1,9865649,2
chr1,9865415,2
chr1,9865313,2
chr1,9865247,2
chr1,9865219,2
chr1,9865179,2
chr1,9865136,2
chr1,9865088,2
chr1,9864884,2
chr1,9864615,2
chr1,9864502,2
chr1,9864247,2
chr1,9864242,2
chr1,9864223,2
chr1,9864079,2
chr1,9864037,2
chr1,9863975,2
chr1,9863949,2
chr1,9863888,2
chr1,9863846,2
chr1,9863837,2
chr1,9863632,2
chr1,9863595,2
chr1,9863592,2
chr1,9863464,2
chr1,9863342,2
chr1,9863286,2
chr1,9863270,2
chr1,9863108,2
chr1,9863102,2
chr1,9863065,2
chr1,9863023,2
chr1,9863012,2
chr1,9862933,2
chr1,9862921,2
chr1,9862907,2
chr1,9862809,2
chr1,9862795,2
chr1,9862781,2
chr1,9862663,2
chr1,9862375,2
chr1,9862324,2
chr1,9862304,2
chr1,9862284,2
chr1,9862131,2
chr1,9861992,2
chr1,9861879,2
chr1,9861747,2
chr1,9861578,2
chr1,9861525,2
chr1,9861400,2
